Razão Social;Situação Cadastral;Cidade;Estado
ALPHA SERVICOS DE LOGISTICA LTDA;;Itajaí;SC
ALPHA SOLUCOES LOGISTICAS LTDA;;Pinhais;PR
ALPHA TRANSPORTES INTERNACIONAIS LTDA;;Santos;SP
ALPHA TRANSPORTES INTERNACIONAIS LTDA;;Vitória;ES
ALPHAMAR AGENCIA MARITIMA LTDA;;Santos;SP
ALPHAMAR AGENCIA MARITIMA LTDA;;Paranaguá;PR
ALPHAMAR AGENCIA MARITIMA LTDA;;São Luís;MA
ALPHAMAR AGENCIA MARITIMA LTDA;;Barcarena;PA
ALPHAMAR AGENCIA MARITIMA LTDA;;Vitória;ES
ALPHAMAR AGENCIA MARITIMA LTDA;;Itacoatiara;AM
ALPHAMAR AGENCIA MARITIMA LTDA;;Rio Grande;RS
ALPHAMAR AGENCIA MARITIMA LTDA;;São Francisco do Sul;SC
ALPHAMAR AGENCIA MARITIMA LTDA;;Santarém;PA
ALRO INTERNATIONAL LTDA;;Rio de Janeiro;RJ
ALSPAC-TRANSPORTES INTERNACIONAIS E AGENCIAMENTO LTDA;;Manaus;AM
